project_id,sprint_id,sprint_duration_days,team_size,avg_experience_years,planned_story_points,completed_story_points,velocity_change_pct,backlog_growth_rate,dependency_blockers,scope_change_requests,bug_count,reopened_issues,code_churn_pct,test_coverage_pct,deployment_failures,avg_work_hours,meeting_hours,attrition_risk_score,communication_delay_hours,unplanned_leave_days,days_remaining,milestone_slippage_days,client_priority,delivery_risk
P202,5,14,13,2.0,20,63,17.7,13.7,2,3,5,1,12.9,75.6,1,9.7,8.8,0.64,3.7,0,40,7,5,0
P448,2,21,4,6.7,21,59,15.7,-1.5,1,0,9,3,32.8,71.5,0,10.2,10.0,0.13,3.0,1,28,2,5,0
P370,8,14,14,5.2,58,47,-14.9,21.0,1,1,7,2,23.2,57.6,1,10.1,6.1,0.13,5.3,0,16,4,2,0
P206,9,10,10,7.8,32,17,-4.6,13.6,3,0,7,2,26.4,75.9,2,9.4,10.0,0.59,5.0,1,14,2,3,0
P171,14,21,10,7.9,46,15,-30.7,32.6,1,4,4,3,39.5,66.9,1,8.8,8.9,0.68,2.5,1,54,3,3,1
P288,10,21,9,3.5,23,15,-20.1,31.0,1,3,8,0,40.8,76.7,2,9.5,10.1,0.6,3.8,0,50,4,4,0
P120,4,7,9,7.9,60,41,7.6,24.6,1,2,4,2,16.3,70.5,0,8.8,11.8,0.78,7.1,2,68,5,4,0
P202,6,10,5,7.7,70,47,11.4,-1.7,3,1,4,3,27.7,91.8,0,10.4,3.8,0.28,6.5,0,88,2,3,0
P221,11,14,6,5.5,39,66,-15.7,-0.4,1,1,10,5,26.6,60.3,1,10.3,8.7,0.32,4.7,2,69,7,4,0
P314,10,7,6,3.3,22,73,-21.3,2.1,2,1,10,1,26.8,69.4,1,10.1,13.2,0.29,6.0,1,5,2,3,0
P430,8,21,6,6.3,42,63,0.9,27.5,3,2,8,4,18.4,58.4,1,7.3,3.3,0.18,9.9,0,37,2,1,0
P187,9,14,5,2.9,21,23,3.1,19.2,4,1,8,2,43.4,56.0,1,9.2,14.8,0.28,8.8,0,88,4,3,0
P472,12,10,12,5.4,35,73,19.0,-2.1,3,3,6,2,22.9,66.9,0,10.9,4.7,0.5,7.8,1,88,5,3,0
